[Epoch 1] started
[Epoch 1] Step 1490/10587 | Loss: 0.0350 | ETA: 02:53:22
[Epoch 1] Step 1500/10587 | Loss: 0.0884 | ETA: 02:53:05
[Epoch 1] Step 1510/10587 | Loss: 0.0804 | ETA: 02:52:51
[Epoch 1] Step 1520/10587 | Loss: 0.0866 | ETA: 02:52:38
[Epoch 1] Step 1530/10587 | Loss: 0.0818 | ETA: 02:52:25
[Epoch 1] Step 1540/10587 | Loss: 0.0699 | ETA: 02:52:09
[Epoch 1] Step 1550/10587 | Loss: 0.1243 | ETA: 02:51:54
[Epoch 1] Step 1560/10587 | Loss: 0.0719 | ETA: 02:51:38
[Epoch 1] Step 1570/10587 | Loss: 0.0763 | ETA: 02:51:21
[Epoch 1] Step 1580/10587 | Loss: 0.0451 | ETA: 02:51:04
[Epoch 1] Step 1590/10587 | Loss: 0.0708 | ETA: 02:50:50
[Epoch 1] Step 1600/10587 | Loss: 0.0777 | ETA: 02:50:38
[Epoch 1] Step 1610/10587 | Loss: 0.0965 | ETA: 02:50:28
[Epoch 1] Step 1620/10587 | Loss: 0.0644 | ETA: 02:50:14
[Epoch 1] Step 1630/10587 | Loss: 0.0610 | ETA: 02:50:00
[Epoch 1] Step 1640/10587 | Loss: 0.0455 | ETA: 02:49:45
[Epoch 1] Step 1650/10587 | Loss: 0.1289 | ETA: 02:49:26
[Epoch 1] Step 1660/10587 | Loss: 0.1214 | ETA: 02:49:13
[Epoch 1] Step 1670/10587 | Loss: 0.0537 | ETA: 02:48:58
[Epoch 1] Step 1680/10587 | Loss: 0.0746 | ETA: 02:48:43
[Epoch 1] Step 1690/10587 | Loss: 0.0820 | ETA: 02:48:28
[Epoch 1] Step 1700/10587 | Loss: 0.2215 | ETA: 02:48:17
[Epoch 1] Step 1710/10587 | Loss: 0.0478 | ETA: 02:48:01
[Epoch 1] Step 1720/10587 | Loss: 0.3978 | ETA: 02:47:46
[Epoch 1] Step 1730/10587 | Loss: 0.0458 | ETA: 02:47:36
[Epoch 1] Step 1740/10587 | Loss: 0.0720 | ETA: 02:47:21
[Epoch 1] Step 1750/10587 | Loss: 0.0586 | ETA: 02:47:09
[Epoch 1] Step 1760/10587 | Loss: 0.0628 | ETA: 02:46:52
[Epoch 1] Step 1770/10587 | Loss: 0.0307 | ETA: 02:46:39
[Epoch 1] Step 1780/10587 | Loss: 0.0508 | ETA: 02:46:27
[Epoch 1] Step 1790/10587 | Loss: 0.0628 | ETA: 02:46:12
[Epoch 1] Step 1800/10587 | Loss: 0.0500 | ETA: 02:45:58
[Epoch 1] Step 1810/10587 | Loss: 0.0333 | ETA: 02:45:43
[Epoch 1] Step 1820/10587 | Loss: 0.1290 | ETA: 02:45:27
[Epoch 1] Step 1830/10587 | Loss: 0.0890 | ETA: 02:45:15
[Epoch 1] Step 1840/10587 | Loss: 0.0682 | ETA: 02:45:03
[Epoch 1] Step 1850/10587 | Loss: 0.0693 | ETA: 02:44:46
[Epoch 1] Step 1860/10587 | Loss: 0.1234 | ETA: 02:44:31
[Epoch 1] Step 1870/10587 | Loss: 0.0817 | ETA: 02:44:19
[Epoch 1] Step 1880/10587 | Loss: 0.1057 | ETA: 02:44:04
[Epoch 1] Step 1890/10587 | Loss: 0.1108 | ETA: 02:43:50
[Epoch 1] Step 1900/10587 | Loss: 0.0593 | ETA: 02:43:37
[Epoch 1] Step 1910/10587 | Loss: 0.1258 | ETA: 02:43:26
[Epoch 1] Step 1920/10587 | Loss: 0.0833 | ETA: 02:43:12
[Epoch 1] Step 1930/10587 | Loss: 0.0876 | ETA: 02:43:00
[Epoch 1] Step 1940/10587 | Loss: 0.0996 | ETA: 02:42:45
[Epoch 1] Step 1950/10587 | Loss: 0.0496 | ETA: 02:42:30
[Epoch 1] Step 1960/10587 | Loss: 0.0567 | ETA: 02:42:23
[Epoch 1] Step 1970/10587 | Loss: 0.0741 | ETA: 02:42:10
[Epoch 1] Step 1980/10587 | Loss: 0.0946 | ETA: 02:41:59
[Epoch 1] Step 1990/10587 | Loss: 0.1269 | ETA: 02:41:44
[Epoch 1] Step 2000/10587 | Loss: 0.0638 | ETA: 02:41:30
[Step Save] checkpoints/detector/detector_epoch_1_step_2000.pth
[Epoch 1] Step 2010/10587 | Loss: 0.0831 | ETA: 02:41:19
[Epoch 1] Step 2020/10587 | Loss: 0.0758 | ETA: 02:41:05
[Epoch 1] Step 2030/10587 | Loss: 0.0759 | ETA: 02:40:51
[Epoch 1] Step 2040/10587 | Loss: 0.1480 | ETA: 02:40:38
[Epoch 1] Step 2050/10587 | Loss: 0.0701 | ETA: 02:40:23
[Epoch 1] Step 2060/10587 | Loss: 0.0726 | ETA: 02:40:10
[Epoch 1] Step 2070/10587 | Loss: 0.1081 | ETA: 02:40:00
[Epoch 1] Step 2080/10587 | Loss: 0.0474 | ETA: 02:39:49
[Epoch 1] Step 2090/10587 | Loss: 0.1012 | ETA: 02:39:36
[Epoch 1] Step 2100/10587 | Loss: 0.0814 | ETA: 02:39:21
[Epoch 1] Step 2110/10587 | Loss: 0.0525 | ETA: 02:39:08
[Epoch 1] Step 2120/10587 | Loss: 0.0854 | ETA: 02:38:55
[Epoch 1] Step 2130/10587 | Loss: 0.0485 | ETA: 02:38:43
[Epoch 1] Step 2140/10587 | Loss: 0.1212 | ETA: 02:38:31
[Epoch 1] Step 2150/10587 | Loss: 0.1533 | ETA: 02:38:19
[Epoch 1] Step 2160/10587 | Loss: 0.0387 | ETA: 02:38:06
[Epoch 1] Step 2170/10587 | Loss: 0.0963 | ETA: 02:37:51
[Epoch 1] Step 2180/10587 | Loss: 0.0546 | ETA: 02:37:39
[Epoch 1] Step 2190/10587 | Loss: 0.0748 | ETA: 02:37:27
[Epoch 1] Step 2200/10587 | Loss: 0.0695 | ETA: 02:37:12
[Epoch 1] Step 2210/10587 | Loss: 0.0604 | ETA: 02:36:58
[Epoch 1] Step 2220/10587 | Loss: 0.0778 | ETA: 02:36:45
[Epoch 1] Step 2230/10587 | Loss: 0.0922 | ETA: 02:36:31
[Epoch 1] Step 2240/10587 | Loss: 0.0814 | ETA: 02:36:21
[Epoch 1] Step 2250/10587 | Loss: 0.0528 | ETA: 02:36:09
[Epoch 1] Step 2260/10587 | Loss: 0.0444 | ETA: 02:35:58
[Epoch 1] Step 2270/10587 | Loss: 0.1041 | ETA: 02:35:44
[Epoch 1] Step 2280/10587 | Loss: 0.0981 | ETA: 02:35:33
[Epoch 1] Step 2290/10587 | Loss: 0.0651 | ETA: 02:35:18
[Epoch 1] Step 2300/10587 | Loss: 0.0238 | ETA: 02:35:06
[Epoch 1] Step 2310/10587 | Loss: 0.0419 | ETA: 02:34:51
[Epoch 1] Step 2320/10587 | Loss: 0.0394 | ETA: 02:34:38
[Epoch 1] Step 2330/10587 | Loss: 0.0631 | ETA: 02:34:24
[Epoch 1] Step 2340/10587 | Loss: 0.0812 | ETA: 02:34:12
[Epoch 1] Step 2350/10587 | Loss: 0.1110 | ETA: 02:33:59
[Epoch 1] Step 2360/10587 | Loss: 0.0588 | ETA: 02:33:45
[Epoch 1] Step 2370/10587 | Loss: 0.0788 | ETA: 02:33:32
[Epoch 1] Step 2380/10587 | Loss: 0.0789 | ETA: 02:33:16
[Epoch 1] Step 2390/10587 | Loss: 0.1515 | ETA: 02:33:04
[Epoch 1] Step 2400/10587 | Loss: 0.2392 | ETA: 02:32:50
[Epoch 1] Step 2410/10587 | Loss: 0.0687 | ETA: 02:32:36
[Epoch 1] Step 2420/10587 | Loss: 0.0405 | ETA: 02:32:29
[Epoch 1] Step 2430/10587 | Loss: 0.0890 | ETA: 02:32:17
[Epoch 1] Step 2440/10587 | Loss: 0.1042 | ETA: 02:32:06
[Epoch 1] Step 2450/10587 | Loss: 0.0631 | ETA: 02:31:53
[Epoch 1] Step 2460/10587 | Loss: 0.0966 | ETA: 02:31:40
[Epoch 1] Step 2470/10587 | Loss: 0.0657 | ETA: 02:31:30
[Epoch 1] Step 2480/10587 | Loss: 0.0692 | ETA: 02:31:18
[Epoch 1] Step 2490/10587 | Loss: 0.1161 | ETA: 02:31:03
[Epoch 1] Step 2500/10587 | Loss: 0.0835 | ETA: 02:30:50
[Epoch 1] Step 2510/10587 | Loss: 0.0560 | ETA: 02:30:37
[Epoch 1] Step 2520/10587 | Loss: 0.1398 | ETA: 02:30:24
[Epoch 1] Step 2530/10587 | Loss: 0.0667 | ETA: 02:30:13
[Epoch 1] Step 2540/10587 | Loss: 0.0803 | ETA: 02:30:00
[Epoch 1] Step 2550/10587 | Loss: 0.0480 | ETA: 02:29:50
[Epoch 1] Step 2560/10587 | Loss: 0.0357 | ETA: 02:29:36
[Epoch 1] Step 2570/10587 | Loss: 0.0724 | ETA: 02:29:24
[Epoch 1] Step 2580/10587 | Loss: 0.1031 | ETA: 02:29:10
[Epoch 1] Step 2590/10587 | Loss: 0.0779 | ETA: 02:28:59
[Epoch 1] Step 2600/10587 | Loss: 0.1400 | ETA: 02:28:48
[Epoch 1] Step 2610/10587 | Loss: 0.0972 | ETA: 02:28:35
[Epoch 1] Step 2620/10587 | Loss: 0.0371 | ETA: 02:28:23
